dataset,framework,few_shot,f1,precision,recall,accuracy
DeepPavlov/minds14,H2O,4,0.2741075481576029,0.2969954648526077,0.2739512471655329,0.2777777777777778
DeepPavlov/minds14,H2O,64,0.7763795543981303,0.8212533498247784,0.7733843537414966,0.7777777777777778
DeepPavlov/minds14,H2O,8,0.3078779149986581,0.2789459723283253,0.3628117913832199,0.3703703703703703
DeepPavlov/minds14,H2O,full,0.7593813123335458,0.7713306534735107,0.7660147392290249,0.7685185185185185
DeepPavlov/snips,AutoGluon,128,0.9749282626835948,0.9749728555186432,0.975,0.975
DeepPavlov/snips,AutoGluon,16,0.7844376566302235,0.7952566202302166,0.7849999999999999,0.785
DeepPavlov/snips,AutoGluon,32,0.9187467189759104,0.9206715014735244,0.9185714285714288,0.9185714285714286
DeepPavlov/snips,AutoGluon,4,0.2127487997446628,0.2282511863815806,0.2621428571428571,0.2621428571428571
DeepPavlov/snips,AutoGluon,64,0.9612017728894096,0.9616093361678368,0.9614285714285714,0.9614285714285714
DeepPavlov/snips,AutoGluon,8,0.1770870037179497,0.2529730100606919,0.23,0.23
DeepPavlov/snips,AutoIntent,128,0.9599223540032042,0.9606903665691676,0.96,0.96
DeepPavlov/snips,AutoIntent,16,0.9384148498040226,0.9394111190644252,0.9385714285714286,0.9385714285714286
DeepPavlov/snips,AutoIntent,32,0.9448436652864796,0.946112185890826,0.945,0.945
DeepPavlov/snips,AutoIntent,4,0.8111747887318792,0.8264681129750749,0.8142857142857143,0.8142857142857143
DeepPavlov/snips,AutoIntent,64,0.9514405414932304,0.9517660473101932,0.9514285714285714,0.9514285714285714
DeepPavlov/snips,AutoIntent,8,0.8936988276560107,0.9005501437358223,0.8985714285714286,0.8985714285714286
DeepPavlov/snips,AutoIntent,full,0.9735227080925816,0.9736163875436876,0.9735714285714284,0.9735714285714284
DeepPavlov/snips,H2O,128,0.9451177203370184,0.9457753121342276,0.945,0.945
DeepPavlov/snips,H2O,16,0.7305406323393246,0.7393956042442937,0.7285714285714286,0.7285714285714285
DeepPavlov/snips,H2O,32,0.8416494638237122,0.848443190969407,0.8392857142857143,0.8392857142857143
DeepPavlov/snips,H2O,4,0.2968495906382387,0.2622027576017352,0.3957142857142857,0.3957142857142857
DeepPavlov/snips,H2O,64,0.8731850816446034,0.8740199218354998,0.8735714285714286,0.8735714285714286
DeepPavlov/snips,H2O,8,0.5376463147798405,0.5569629641747449,0.5407142857142857,0.5407142857142857
DeepPavlov/snips,H2O,full,0.9836130342294188,0.983832969645394,0.9835714285714284,0.9835714285714284
