,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.9806667098333333,0.9806699825999999,0.9833501155000001,0.9800785633999999,0.9899457480000001,0.002914482249657915,0.0030800793983956644,0.00314002805968227,0.002847336197992058,0.0014112132789364591
1,knn,0.9783303116666667,0.9781466015666666,0.9809185523666667,0.977697611,0.9957658799666668,0.0021710725542997945,0.002339480448960498,0.0016548582720755723,0.0027247791708571484,0.000750403528376282
2,linear,0.9775533109,0.9775146162333334,0.9793040293333334,0.9776815776666666,0.9997615607666667,0.005790069385331532,0.005969031245027903,0.0048056131297710605,0.006350663760566585,7.738331031288535e-05
3,rerank,0.9667238625333333,0.9661800486,0.9701170522666667,0.9660413660333335,0.9931721368,0.0011144203432682852,0.0007232448872769312,0.0012820962090755457,0.0009378481628481025,0.000578023360123323
4,sklearn,0.9690440732000001,0.9688096444666666,0.9719018636,0.9687870771333333,0.9984263067333333,0.002871306232160611,0.003034685135220953,0.002780839488775915,0.002517535841219263,0.0003463242540220688
