,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.9112936333333334,0.9121537592000001,0.9157110999999999,0.9112430255666667,0.9552900651666666,0.00036813132116435293,0.0005582905059970883,0.000816143979536462,0.0003786206782531183,0.00018627843848862305
1,knn,0.9110601667666667,0.9115771583,0.9150917202666666,0.9112635908333333,0.9787943902666667,0.0001699411704744337,0.0009724889911408843,0.001271588851274839,0.000725552784165554,0.000673742527620976
2,linear,0.9190910543666666,0.9199229187333334,0.9245662157333334,0.9182293188333333,0.9988650257333332,0.0014657948531469533,0.0016562767691001047,0.0015434063759125227,0.0017241540609391043,4.82448247548592e-05
3,rerank,0.9044290192666665,0.9043849508999999,0.9115909701333332,0.9014844157,0.9829217083666667,0.0004898611923439814,0.00042399385411522804,0.0011729679597650448,0.0002799746641429424,0.0005588228825663836
4,sklearn,0.8996634456333333,0.9006809475,0.9087672299999999,0.8978833589333334,0.9962019614333334,0.0007409313061942294,0.0006948616480121782,0.0007358826755244369,0.0007476579828452023,0.00026028404326686465
