,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.7963469457999999,0.7805020291666667,0.7814131364333333,0.7892227818,0.8934777761333333,0.00222589880418782,0.006737801796044084,0.006260674861035271,0.007253886042074169,0.003645552887497611
1,knn,0.8247184247,0.8059751975,0.8239207641333334,0.8079835837333333,0.9745527257333334,0.00022839261935096388,0.004280022869468659,0.0020294892232693147,0.0034282781141649152,0.0031723540182984865
2,linear,0.8547165592,0.8446235039333333,0.8763345129666668,0.8285803422666667,0.9951068633000001,0.0005865991745493039,0.0012425995221619988,0.0019992250247263606,0.0014237638701732494,0.00011665638444009382
3,rerank,0.8022136072666667,0.7848504633333334,0.7965649761666667,0.7887176486999999,0.9583593902,0.001198944255141947,0.0032674194586539435,0.006232601312911567,0.002041933407738845,0.001996289523818489
4,sklearn,0.7899625657000001,0.7485283603999999,0.8549417824,0.7043756808333334,0.9852529297,0.0005611460864446731,0.002381785860613526,0.0026867462058069195,0.0013099349647262678,0.00048372935958217726
