,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.8363860684666666,0.8264263301333333,0.8296389255333333,0.8313089259666667,0.9148913238333334,0.0028968139908179366,0.0030951856083728567,0.0030464867603427425,0.0031287096796927772,0.0015903609851613892
1,knn,0.8578292989,0.8465581292333333,0.8590718766666666,0.8501201928333333,0.9766649686333334,0.00041815557606383907,0.0017156906047520193,0.0018351658069718677,0.0015204941471372894,0.0032248614849729306
2,linear,0.8965080840333334,0.8947044448,0.8998207614,0.8927616806333333,0.9973402815333333,0.00010513301445916859,0.0009221861839205984,0.000536695822694669,0.0008724752198030372,1.2075106682551651e-05
3,rerank,0.8382847611,0.8263809454666667,0.8388076627333333,0.8330631776666667,0.9678342455666668,0.001739492971302699,0.0017578415891006392,0.0016992538717824565,0.0017113866436558028,0.000166995179789796
4,sklearn,0.8475544613,0.8358528367666667,0.8554319332000001,0.8348024556333334,0.9899381087666667,0.0018840851608003166,0.002176242851136012,0.002184490810309097,0.0020524135322994826,0.0004522290237312652
