,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.0018254253666666667,0.0021219391333333333,0.0023753157,0.0021802605333333335,0.0011037566,0.0002129752685592443,0.0003989610029714211,0.00037800645056909626,0.0003907864621075841,0.00019583367840779242
1,knn,0.0098429795,0.010117492566666665,0.014149817966666667,0.009357620733333334,0.017632865866666667,0.0004180162200348684,0.00025792931096148974,0.00047366709399394483,6.177434656372787e-05,0.00024599733600369614
2,linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rerank,0.0154071931,0.015627204433333333,0.01600935336666667,0.015010788800000001,0.0226228468,0.00028531804675681934,0.0006838903678909867,0.0007043860472447868,0.000612837217254458,0.0002663003897054216
4,sklearn,0.0793303117,0.08558733176666666,0.07291584273333333,0.08192543736666666,0.015144879333333333,0.0010588700174338312,0.001106214146063945,0.0007791251813894072,0.0011402523686979411,0.00018241419472823093
