,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.0018719226333333333,0.002853877,0.0021805122333333335,0.0037195958333333333,0.0018690593333333335,0.00034358619229992663,0.0007195059973675318,0.000639947170054541,0.0011769076218498555,0.0005926738701971281
1,knn,0.0135789613,0.012641924766666666,0.01908171666666667,0.011066487466666669,0.022471034900000002,0.000441007111349881,0.0012888541371660757,0.0017473350058003043,0.0014384737357955994,0.0005958724162375874
2,linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rerank,0.0174224492,0.016658101766666666,0.016169210933333334,0.013469740266666669,0.02639642366666667,0.0005857418604558836,0.0009419545661774935,0.0022580982330746694,0.0013244656585771873,0.0005246127429522602
4,sklearn,0.056487521066666664,0.07381292766666668,0.03060858946666667,0.0769522313,0.0091301148,0.001112926803432504,0.0017399625076711166,0.001337210424505246,0.0012017156031282018,0.0002052544035886363
