,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.0026784704,0.0026323983000000003,0.002192748,0.0027453340333333334,0.0014240234333333334,0.0010865724750565913,0.001049683747892488,0.0007047717593077491,0.0011363066259314643,0.0005947999185568782
1,knn,0.0065890231999999995,0.006607967266666667,0.0057798586,0.006820806,0.0022572273666666668,0.0006249630492458413,0.0006816630638125959,0.0006746104156597398,0.0006696163397825998,0.0002024037187632239
2,linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rerank,0.0058509799,0.0057481728,0.004834889899999999,0.0057100902,0.0052112096,0.0007508751457465395,0.0005314323631187134,0.0005077510195714891,0.0007889781215137126,0.0004893938098121796
4,sklearn,0.022739298800000002,0.022784112300000003,0.02000060823333333,0.02306315386666667,0.001720513333333333,0.0006161675564162239,0.0009094428449640173,0.001117710641272136,0.0006650453701817263,0.0003220481518356567
