,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.0027909026000000003,0.0026236678,0.0028451783666666665,0.0023527204666666667,0.0011751920666666666,0.0002326994670514022,0.00028395343307560135,0.00031045373338349285,0.0003201818895615984,0.00016141052565390177
1,knn,0.006326910266666666,0.006555257966666666,0.0046377295,0.007137490566666666,0.009428136066666667,0.0004078543616384189,0.0003779885900679221,0.00027744820494360133,0.0004337445369216949,7.676738145455348e-05
2,linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rerank,0.008712180566666667,0.009162852966666668,0.007261076866666667,0.0091385801,0.014377484566666668,0.0008601734804016278,0.0008067054965839865,0.0008241315799619233,0.00079067481168644,9.208858809994972e-05
4,sklearn,0.05198021666666667,0.05834065816666667,0.04040904506666667,0.058168092266666666,0.004867485433333333,0.0006433119785722569,0.0008425065987886879,0.001888392545809677,0.0006849155250851121,8.401082484923526e-05
