,module_name,mean_scoring_accuracy,mean_scoring_f1,mean_scoring_precision,mean_scoring_recall,mean_scoring_roc_auc,std_scoring_accuracy,std_scoring_f1,std_scoring_precision,std_scoring_recall,std_scoring_roc_auc
0,dnnc,0.0062933219,0.006384933333333333,0.0063772816,0.006328556333333333,0.0033463904333333335,0.0005303934283833527,0.0005338382706293128,0.0005516087598525427,0.000529977416022647,0.00028260536360534436
1,knn,0.011047798566666668,0.011044738699999999,0.011261509500000001,0.011065962033333333,0.008081508066666668,0.0006349048088273302,0.0006375366101528968,0.0006605686932871758,0.0006351706428550224,0.00021084343030657195
2,linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rerank,0.0063419683666666666,0.006389546766666667,0.006077297133333333,0.0063141837333333325,0.007535725900000001,0.00032170011605333433,0.00033345433565368736,0.0003357787657460425,0.00032225768645224845,0.0002144630918002131
4,sklearn,0.021569645600000003,0.021373188466666665,0.021152647266666668,0.0215623224,0.002613672133333333,0.00040224003823568735,0.0004044835865873129,0.0004344627801159679,0.0003991748691392278,8.292784724181765e-05
